client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,month,year,product_count
156,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,30/12/2013,12,2013,1
157,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,30/12/2013,12,2013,1
241,OTHER CLIENTS,Bradford,L3Z0G7,44.123813,-79.593447,06/10/2013,10,2013,1
284,FLYER,Brampton,L7A3H7,43.686699,-79.82703,11/07/2013,7,2013,1
285,FLYER,Brampton,L7A3H7,43.686699,-79.82703,24/05/2013,5,2013,2
133,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,01/11/2013,11,2013,3
134,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,08/10/2013,10,2013,3
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,19/07/2013,7,2013,1
147,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,11/03/2013,3,2013,1
51,LOYAL CLIENT,Brampton,L6R1T3,43.741009,-79.749223,25/02/2013,2,2013,1
150,LOYAL CLIENT,Brampton,L6P3C9,43.793235,-79.680757,16/01/2013,1,2013,1
225,MEDIA,Brampton,L6X0T8,43.689607,-79.78909,18/12/2013,12,2013,2
218,MEDIA,Brampton,L6P1K1,43.778963,-79.657809,02/12/2013,12,2013,0
224,MEDIA,Brampton,L6Y4L3,43.654056,-79.761038,17/05/2013,5,2013,1
291,MEDIA,Brampton,L6P1R8,43.770831,-79.66672,10/04/2013,4,2013,0
292,MEDIA,Brampton,L6P1R8,43.770831,-79.66672,10/04/2013,4,2013,2
301,MEDIA,Brampton,L6P3T5,43.780059,-79.684252,10/04/2013,4,2013,0
98,MEDIA,Brampton,L6P2J6,43.768292,-79.714892,23/03/2013,3,2013,2
281,MEDIA,Brampton,L6P2J6,43.768292,-79.714892,18/03/2013,3,2013,2
214,MEDIA,Brampton,L6P2G9,43.776942,-79.676093,06/03/2013,3,2013,1
219,MEDIA,Brampton,L6P2E9,43.770298,-79.690902,04/02/2013,2,2013,2
220,MEDIA,Brampton,L6P2E9,43.770298,-79.690902,04/02/2013,2,2013,1
226,MEDIA,Brampton,L6P1J6,43.78009,-79.659531,08/01/2013,1,2013,1
198,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,21/12/2013,12,2013,1
199,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,21/12/2013,12,2013,1
201,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,19/12/2013,12,2013,1
201,OTHER CLIENTS,Brampton,L6P1R5,43.77229,-79.674498,19/12/2013,12,2013,1
267,OTHER CLIENTS,Brampton,L6R0R3,43.776257,-79.676422,08/10/2013,10,2013,1
1,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,30/09/2013,9,2013,1
3,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,30/09/2013,9,2013,2
16,OTHER CLIENTS,Brampton,L6P1S4,43.768574,-79.668612,13/09/2013,9,2013,1
28,OTHER CLIENTS,Brampton,L6P2C4,43.772229,-79.708831,13/09/2013,9,2013,1
17,OTHER CLIENTS,Brampton,L6P1S4,43.768574,-79.668612,06/09/2013,9,2013,1
297,OTHER CLIENTS,Brampton,L6T4N6,43.712123,-79.727995,29/08/2013,8,2013,2
298,OTHER CLIENTS,Brampton,L6T4N6,43.712123,-79.727995,22/07/2013,7,2013,2
24,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,25/06/2013,6,2013,1
213,OTHER CLIENTS,Brampton,L6P0Z2,43.783662,-79.669382,17/06/2013,6,2013,1
213,OTHER CLIENTS,Brampton,L6P0Z2,43.783662,-79.669382,17/06/2013,6,2013,1
19,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,23/05/2013,5,2013,1
196,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,15/05/2013,5,2013,1
196,OTHER CLIENTS,Brampton,L6P1R7,43.77199,-79.672533,15/05/2013,5,2013,1
8,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,21/03/2013,3,2013,1
12,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,21/03/2013,3,2013,1
12,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,21/03/2013,3,2013,1
13,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,05/03/2013,3,2013,1
215,OTHER CLIENTS,Brampton,L6P2G9,43.776942,-79.676093,05/03/2013,3,2013,1
23,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,25/02/2013,2,2013,1
142,OTHER CLIENTS,Brampton,L6R1T3,43.741009,-79.749223,25/02/2013,2,2013,1
2,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,21/01/2013,1,2013,1
203,OTHER CLIENTS,Brampton,L6P3A7,43.772465,-79.684291,18/01/2013,1,2013,0
203,OTHER CLIENTS,Brampton,L6P3A7,43.772465,-79.684291,18/01/2013,1,2013,0
158,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,30/12/2013,12,2013,1
344,Referrer_0,Brampton,L6P1Z5,43.790237,-79.751803,21/12/2013,12,2013,1
160,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,14/12/2013,12,2013,1
159,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,30/11/2013,11,2013,1
